[KGenerating Samples |                                | (0/128) Sample Time: 0.000s | Infer Batch: 30.5 | Total: 0:05:32 | ETA: 0:00:00
[KGenerating Samples |##########                      | (42/128) Sample Time: 9.644s | Infer Batch: 30.5 | Total: 0:06:46 | ETA: 0:00:02
[KGenerating Samples |###########                     | (44/128) Sample Time: 9.246s | Infer Batch: 30.5 | Total: 0:06:47 | ETA: 0:00:01
[KGenerating Samples |###########                     | (44/128) Sample Time: 9.246s | Infer Batch: 30.5 | Total: 0:06:48 | ETA: 0:00:01
[KGenerating Samples |###########                     | (45/128) Sample Time: 9.081s | Infer Batch: 30.5 | Total: 0:06:49 | ETA: 0:00:01
[KGenerating Samples |###########                     | (45/128) Sample Time: 9.081s | Infer Batch: 30.5 | Total: 0:06:50 | ETA: 0:00:01
[KGenerating Samples |###########                     | (47/128) Sample Time: 8.751s | Infer Batch: 30.5 | Total: 0:06:51 | ETA: 0:00:01
[KGenerating Samples |############                    | (48/128) Sample Time: 8.581s | Infer Batch: 30.5 | Total: 0:06:52 | ETA: 0:00:01
[KGenerating Samples |############                    | (48/128) Sample Time: 8.581s | Infer Batch: 30.5 | Total: 0:06:53 | ETA: 0:00:01
[KGenerating Samples |############                    | (48/128) Sample Time: 8.581s | Infer Batch: 30.5 | Total: 0:06:54 | ETA: 0:00:01
[KGenerating Samples |############                    | (50/128) Sample Time: 8.304s | Infer Batch: 30.5 | Total: 0:06:55 | ETA: 0:00:01
[KGenerating Samples |############                    | (51/128) Sample Time: 8.166s | Infer Batch: 30.5 | Total: 0:06:56 | ETA: 0:00:01
[KGenerating Samples |#############                   | (52/128) Sample Time: 8.023s | Infer Batch: 30.5 | Total: 0:06:57 | ETA: 0:00:01
[KGenerating Samples |#############                   | (53/128) Sample Time: 7.883s | Infer Batch: 30.5 | Total: 0:06:58 | ETA: 0:00:01
[KGenerating Samples |#############                   | (55/128) Sample Time: 7.617s | Infer Batch: 30.5 | Total: 0:06:59 | ETA: 0:00:01
[KGenerating Samples |#############                   | (55/128) Sample Time: 7.617s | Infer Batch: 30.5 | Total: 0:07:00 | ETA: 0:00:01
[KGenerating Samples |#############                   | (55/128) Sample Time: 7.617s | Infer Batch: 30.5 | Total: 0:07:01 | ETA: 0:00:01
[KGenerating Samples |##############                  | (57/128) Sample Time: 7.408s | Infer Batch: 30.5 | Total: 0:07:02 | ETA: 0:00:01
[KGenerating Samples |##############                  | (58/128) Sample Time: 7.288s | Infer Batch: 30.5 | Total: 0:07:03 | ETA: 0:00:01
[KGenerating Samples |##############                  | (58/128) Sample Time: 7.288s | Infer Batch: 30.5 | Total: 0:07:04 | ETA: 0:00:01
[KGenerating Samples |##############                  | (58/128) Sample Time: 7.288s | Infer Batch: 30.5 | Total: 0:07:05 | ETA: 0:00:01
[KGenerating Samples |##############                  | (58/128) Sample Time: 7.288s | Infer Batch: 30.5 | Total: 0:07:06 | ETA: 0:00:01
[KGenerating Samples |##############                  | (59/128) Sample Time: 7.237s | Infer Batch: 30.5 | Total: 0:07:07 | ETA: 0:00:01
[KGenerating Samples |##############                  | (59/128) Sample Time: 7.237s | Infer Batch: 30.5 | Total: 0:07:08 | ETA: 0:00:01
[KGenerating Samples |##############                  | (59/128) Sample Time: 7.237s | Infer Batch: 30.5 | Total: 0:07:09 | ETA: 0:00:01
[KGenerating Samples |##############                  | (59/128) Sample Time: 7.237s | Infer Batch: 30.5 | Total: 0:07:10 | ETA: 0:00:01
[KGenerating Samples |##############                  | (59/128) Sample Time: 7.237s | Infer Batch: 30.5 | Total: 0:07:11 | ETA: 0:00:01
[KGenerating Samples |###############                 | (60/128) Sample Time: 7.198s | Infer Batch: 30.5 | Total: 0:07:12 | ETA: 0:00:01
[KGenerating Samples |###############                 | (62/128) Sample Time: 6.987s | Infer Batch: 30.5 | Total: 0:07:13 | ETA: 0:00:01
[KGenerating Samples |###############                 | (62/128) Sample Time: 6.987s | Infer Batch: 30.5 | Total: 0:07:14 | ETA: 0:00:01
[KGenerating Samples |###############                 | (62/128) Sample Time: 6.987s | Infer Batch: 30.5 | Total: 0:07:15 | ETA: 0:00:01
[KGenerating Samples |###############                 | (62/128) Sample Time: 6.987s | Infer Batch: 30.5 | Total: 0:07:16 | ETA: 0:00:01
[KGenerating Samples |###############                 | (63/128) Sample Time: 6.934s | Infer Batch: 30.5 | Total: 0:07:17 | ETA: 0:00:01
[KGenerating Samples |################                | (65/128) Sample Time: 6.734s | Infer Batch: 30.5 | Total: 0:07:18 | ETA: 0:00:01
[KGenerating Samples |################                | (65/128) Sample Time: 6.734s | Infer Batch: 30.5 | Total: 0:07:19 | ETA: 0:00:01
[KGenerating Samples |################                | (67/128) Sample Time: 6.569s | Infer Batch: 30.5 | Total: 0:07:20 | ETA: 0:00:01
[KGenerating Samples |################                | (67/128) Sample Time: 6.569s | Infer Batch: 30.5 | Total: 0:07:21 | ETA: 0:00:01
[KGenerating Samples |################                | (67/128) Sample Time: 6.569s | Infer Batch: 30.5 | Total: 0:07:22 | ETA: 0:00:01
[KGenerating Samples |################                | (67/128) Sample Time: 6.569s | Infer Batch: 30.5 | Total: 0:07:23 | ETA: 0:00:01
[KGenerating Samples |################                | (67/128) Sample Time: 6.569s | Infer Batch: 30.5 | Total: 0:07:24 | ETA: 0:00:01
[KGenerating Samples |#################               | (68/128) Sample Time: 6.547s | Infer Batch: 30.5 | Total: 0:07:25 | ETA: 0:00:01
[KGenerating Samples |#################               | (69/128) Sample Time: 6.464s | Infer Batch: 30.5 | Total: 0:07:26 | ETA: 0:00:01
[KGenerating Samples |#################               | (70/128) Sample Time: 6.383s | Infer Batch: 30.5 | Total: 0:07:27 | ETA: 0:00:01
[KGenerating Samples |##################              | (73/128) Sample Time: 6.143s | Infer Batch: 30.5 | Total: 0:07:28 | ETA: 0:00:01
[KGenerating Samples |##################              | (73/128) Sample Time: 6.143s | Infer Batch: 30.5 | Total: 0:07:29 | ETA: 0:00:01
[KGenerating Samples |##################              | (74/128) Sample Time: 6.084s | Infer Batch: 30.5 | Total: 0:07:30 | ETA: 0:00:01
[KGenerating Samples |##################              | (74/128) Sample Time: 6.084s | Infer Batch: 30.5 | Total: 0:07:31 | ETA: 0:00:01
[KGenerating Samples |##################              | (75/128) Sample Time: 6.033s | Infer Batch: 30.5 | Total: 0:07:32 | ETA: 0:00:01
[KGenerating Samples |###################             | (76/128) Sample Time: 5.958s | Infer Batch: 30.5 | Total: 0:07:33 | ETA: 0:00:01
[KGenerating Samples |###################             | (76/128) Sample Time: 5.958s | Infer Batch: 30.5 | Total: 0:07:34 | ETA: 0:00:01
[KGenerating Samples |###################             | (76/128) Sample Time: 5.958s | Infer Batch: 30.5 | Total: 0:07:35 | ETA: 0:00:01
[KGenerating Samples |###################             | (76/128) Sample Time: 5.958s | Infer Batch: 30.5 | Total: 0:07:36 | ETA: 0:00:01
[KGenerating Samples |###################             | (78/128) Sample Time: 5.864s | Infer Batch: 30.5 | Total: 0:07:37 | ETA: 0:00:01
[KGenerating Samples |###################             | (78/128) Sample Time: 5.864s | Infer Batch: 30.5 | Total: 0:07:38 | ETA: 0:00:01
[KGenerating Samples |####################            | (80/128) Sample Time: 5.738s | Infer Batch: 30.5 | Total: 0:07:39 | ETA: 0:00:01
[KGenerating Samples |####################            | (80/128) Sample Time: 5.738s | Infer Batch: 30.5 | Total: 0:07:40 | ETA: 0:00:01
[KGenerating Samples |####################            | (80/128) Sample Time: 5.738s | Infer Batch: 30.5 | Total: 0:07:41 | ETA: 0:00:01
[KGenerating Samples |####################            | (80/128) Sample Time: 5.738s | Infer Batch: 30.5 | Total: 0:07:42 | ETA: 0:00:01
[KGenerating Samples |####################            | (81/128) Sample Time: 5.717s | Infer Batch: 30.5 | Total: 0:07:43 | ETA: 0:00:01
[KGenerating Samples |####################            | (81/128) Sample Time: 5.717s | Infer Batch: 30.5 | Total: 0:07:44 | ETA: 0:00:01
[KGenerating Samples |####################            | (81/128) Sample Time: 5.717s | Infer Batch: 30.5 | Total: 0:07:45 | ETA: 0:00:01
[KGenerating Samples |####################            | (82/128) Sample Time: 5.692s | Infer Batch: 30.5 | Total: 0:07:46 | ETA: 0:00:01
[KGenerating Samples |####################            | (82/128) Sample Time: 5.692s | Infer Batch: 30.5 | Total: 0:07:47 | ETA: 0:00:01
[KGenerating Samples |####################            | (83/128) Sample Time: 5.637s | Infer Batch: 30.5 | Total: 0:07:48 | ETA: 0:00:01
[KGenerating Samples |#####################           | (84/128) Sample Time: 5.592s | Infer Batch: 30.5 | Total: 0:07:49 | ETA: 0:00:01
[KGenerating Samples |#####################           | (84/128) Sample Time: 5.592s | Infer Batch: 30.5 | Total: 0:07:50 | ETA: 0:00:01
[KGenerating Samples |#####################           | (85/128) Sample Time: 5.544s | Infer Batch: 30.5 | Total: 0:07:51 | ETA: 0:00:01
[KGenerating Samples |#####################           | (85/128) Sample Time: 5.544s | Infer Batch: 30.5 | Total: 0:07:52 | ETA: 0:00:01
[KGenerating Samples |#####################           | (85/128) Sample Time: 5.544s | Infer Batch: 30.5 | Total: 0:07:53 | ETA: 0:00:01
[KGenerating Samples |#####################           | (85/128) Sample Time: 5.544s | Infer Batch: 30.5 | Total: 0:07:54 | ETA: 0:00:01
[KGenerating Samples |#####################           | (86/128) Sample Time: 5.525s | Infer Batch: 30.5 | Total: 0:07:55 | ETA: 0:00:01
[KGenerating Samples |#####################           | (86/128) Sample Time: 5.525s | Infer Batch: 30.5 | Total: 0:07:56 | ETA: 0:00:01
[KGenerating Samples |#####################           | (87/128) Sample Time: 5.482s | Infer Batch: 30.5 | Total: 0:07:57 | ETA: 0:00:01
[KGenerating Samples |#####################           | (87/128) Sample Time: 5.482s | Infer Batch: 30.5 | Total: 0:07:58 | ETA: 0:00:01
[KGenerating Samples |#####################           | (87/128) Sample Time: 5.482s | Infer Batch: 30.5 | Total: 0:07:59 | ETA: 0:00:01
[KGenerating Samples |######################          | (89/128) Sample Time: 5.395s | Infer Batch: 30.5 | Total: 0:08:00 | ETA: 0:00:01
[KGenerating Samples |######################          | (89/128) Sample Time: 5.395s | Infer Batch: 30.5 | Total: 0:08:01 | ETA: 0:00:01
[KGenerating Samples |######################          | (90/128) Sample Time: 5.355s | Infer Batch: 30.5 | Total: 0:08:02 | ETA: 0:00:01
[KGenerating Samples |######################          | (90/128) Sample Time: 5.355s | Infer Batch: 30.5 | Total: 0:08:03 | ETA: 0:00:01
[KGenerating Samples |######################          | (90/128) Sample Time: 5.355s | Infer Batch: 30.5 | Total: 0:08:04 | ETA: 0:00:01
[KGenerating Samples |######################          | (90/128) Sample Time: 5.355s | Infer Batch: 30.5 | Total: 0:08:05 | ETA: 0:00:01
[KGenerating Samples |######################          | (90/128) Sample Time: 5.355s | Infer Batch: 30.5 | Total: 0:08:06 | ETA: 0:00:01
[KGenerating Samples |######################          | (91/128) Sample Time: 5.354s | Infer Batch: 30.5 | Total: 0:08:07 | ETA: 0:00:01
[KGenerating Samples |#######################         | (92/128) Sample Time: 5.304s | Infer Batch: 30.5 | Total: 0:08:08 | ETA: 0:00:01
[KGenerating Samples |#######################         | (93/128) Sample Time: 5.266s | Infer Batch: 30.5 | Total: 0:08:09 | ETA: 0:00:01
[KGenerating Samples |#######################         | (93/128) Sample Time: 5.266s | Infer Batch: 30.5 | Total: 0:08:10 | ETA: 0:00:01
[KGenerating Samples |#######################         | (93/128) Sample Time: 5.266s | Infer Batch: 30.5 | Total: 0:08:11 | ETA: 0:00:01
[KGenerating Samples |#######################         | (94/128) Sample Time: 5.237s | Infer Batch: 30.5 | Total: 0:08:12 | ETA: 0:00:01
[KGenerating Samples |#######################         | (95/128) Sample Time: 5.193s | Infer Batch: 30.5 | Total: 0:08:13 | ETA: 0:00:01
[KGenerating Samples |#######################         | (95/128) Sample Time: 5.193s | Infer Batch: 30.5 | Total: 0:08:14 | ETA: 0:00:01
[KGenerating Samples |#######################         | (95/128) Sample Time: 5.193s | Infer Batch: 30.5 | Total: 0:08:15 | ETA: 0:00:01
[KGenerating Samples |#######################         | (95/128) Sample Time: 5.193s | Infer Batch: 30.5 | Total: 0:08:16 | ETA: 0:00:01
[KGenerating Samples |#######################         | (95/128) Sample Time: 5.193s | Infer Batch: 30.5 | Total: 0:08:17 | ETA: 0:00:01
[KGenerating Samples |#######################         | (95/128) Sample Time: 5.193s | Infer Batch: 30.5 | Total: 0:08:18 | ETA: 0:00:01
[KGenerating Samples |#######################         | (95/128) Sample Time: 5.193s | Infer Batch: 30.5 | Total: 0:08:19 | ETA: 0:00:01
[KGenerating Samples |#######################         | (95/128) Sample Time: 5.193s | Infer Batch: 30.5 | Total: 0:08:20 | ETA: 0:00:01
[KGenerating Samples |########################        | (96/128) Sample Time: 5.221s | Infer Batch: 30.5 | Total: 0:08:21 | ETA: 0:00:01
[KGenerating Samples |########################        | (96/128) Sample Time: 5.221s | Infer Batch: 30.5 | Total: 0:08:23 | ETA: 0:00:01
[KGenerating Samples |########################        | (96/128) Sample Time: 5.221s | Infer Batch: 30.5 | Total: 0:08:24 | ETA: 0:00:01
[KGenerating Samples |########################        | (96/128) Sample Time: 5.221s | Infer Batch: 30.5 | Total: 0:08:25 | ETA: 0:00:01
[KGenerating Samples |########################        | (96/128) Sample Time: 5.221s | Infer Batch: 30.5 | Total: 0:08:26 | ETA: 0:00:01
[KGenerating Samples |########################        | (97/128) Sample Time: 5.225s | Infer Batch: 30.5 | Total: 0:08:27 | ETA: 0:00:01
[KGenerating Samples |########################        | (97/128) Sample Time: 5.225s | Infer Batch: 30.5 | Total: 0:08:28 | ETA: 0:00:01
[KGenerating Samples |########################        | (97/128) Sample Time: 5.225s | Infer Batch: 30.5 | Total: 0:08:29 | ETA: 0:00:01
[KGenerating Samples |########################        | (98/128) Sample Time: 5.202s | Infer Batch: 30.5 | Total: 0:08:30 | ETA: 0:00:01
[KGenerating Samples |########################        | (99/128) Sample Time: 5.158s | Infer Batch: 30.5 | Total: 0:08:31 | ETA: 0:00:01
[KGenerating Samples |########################        | (99/128) Sample Time: 5.158s | Infer Batch: 30.5 | Total: 0:08:32 | ETA: 0:00:01
[KGenerating Samples |########################        | (99/128) Sample Time: 5.158s | Infer Batch: 30.5 | Total: 0:08:33 | ETA: 0:00:01
[KGenerating Samples |########################        | (99/128) Sample Time: 5.158s | Infer Batch: 30.5 | Total: 0:08:34 | ETA: 0:00:01
[KGenerating Samples |#########################       | (100/128) Sample Time: 5.147s | Infer Batch: 30.5 | Total: 0:08:35 | ETA: 0:00:01
[KGenerating Samples |#########################       | (101/128) Sample Time: 5.108s | Infer Batch: 30.5 | Total: 0:08:36 | ETA: 0:00:01
[KGenerating Samples |#########################       | (101/128) Sample Time: 5.108s | Infer Batch: 30.5 | Total: 0:08:37 | ETA: 0:00:01
[KGenerating Samples |#########################       | (101/128) Sample Time: 5.108s | Infer Batch: 30.5 | Total: 0:08:38 | ETA: 0:00:01
[KGenerating Samples |#########################       | (101/128) Sample Time: 5.108s | Infer Batch: 30.5 | Total: 0:08:39 | ETA: 0:00:01
[KGenerating Samples |#########################       | (101/128) Sample Time: 5.108s | Infer Batch: 30.5 | Total: 0:08:40 | ETA: 0:00:01
[KGenerating Samples |#########################       | (102/128) Sample Time: 5.099s | Infer Batch: 30.5 | Total: 0:08:41 | ETA: 0:00:01
[KGenerating Samples |##########################      | (104/128) Sample Time: 5.015s | Infer Batch: 30.5 | Total: 0:08:42 | ETA: 0:00:01
[KGenerating Samples |##########################      | (104/128) Sample Time: 5.015s | Infer Batch: 30.6 | Total: 0:08:43 | ETA: 0:00:01
[KGenerating Samples |##########################      | (104/128) Sample Time: 5.015s | Infer Batch: 30.6 | Total: 0:08:44 | ETA: 0:00:01
[KGenerating Samples |##########################      | (104/128) Sample Time: 5.015s | Infer Batch: 30.6 | Total: 0:08:45 | ETA: 0:00:01
[KGenerating Samples |##########################      | (104/128) Sample Time: 5.015s | Infer Batch: 30.6 | Total: 0:08:46 | ETA: 0:00:01
[KGenerating Samples |##########################      | (104/128) Sample Time: 5.015s | Infer Batch: 30.6 | Total: 0:08:47 | ETA: 0:00:01
[KGenerating Samples |##########################      | (104/128) Sample Time: 5.015s | Infer Batch: 30.6 | Total: 0:08:48 | ETA: 0:00:01
[KGenerating Samples |##########################      | (104/128) Sample Time: 5.015s | Infer Batch: 30.6 | Total: 0:08:49 | ETA: 0:00:01
[KGenerating Samples |##########################      | (104/128) Sample Time: 5.015s | Infer Batch: 30.6 | Total: 0:08:50 | ETA: 0:00:01
[KGenerating Samples |##########################      | (104/128) Sample Time: 5.015s | Infer Batch: 30.6 | Total: 0:08:51 | ETA: 0:00:01
[KGenerating Samples |##########################      | (104/128) Sample Time: 5.015s | Infer Batch: 30.6 | Total: 0:08:52 | ETA: 0:00:01
[KGenerating Samples |##########################      | (104/128) Sample Time: 5.015s | Infer Batch: 30.6 | Total: 0:08:53 | ETA: 0:00:01
[KGenerating Samples |##########################      | (105/128) Sample Time: 5.087s | Infer Batch: 30.6 | Total: 0:08:54 | ETA: 0:00:01
[KGenerating Samples |##########################      | (105/128) Sample Time: 5.087s | Infer Batch: 30.6 | Total: 0:08:55 | ETA: 0:00:01
[KGenerating Samples |##########################      | (105/128) Sample Time: 5.087s | Infer Batch: 30.6 | Total: 0:08:56 | ETA: 0:00:01
[KGenerating Samples |##########################      | (105/128) Sample Time: 5.087s | Infer Batch: 30.6 | Total: 0:08:57 | ETA: 0:00:01
[KGenerating Samples |##########################      | (105/128) Sample Time: 5.087s | Infer Batch: 30.6 | Total: 0:08:58 | ETA: 0:00:01
[KGenerating Samples |##########################      | (105/128) Sample Time: 5.087s | Infer Batch: 30.6 | Total: 0:08:59 | ETA: 0:00:01
[KGenerating Samples |##########################      | (105/128) Sample Time: 5.087s | Infer Batch: 30.6 | Total: 0:09:00 | ETA: 0:00:01
[KGenerating Samples |##########################      | (106/128) Sample Time: 5.098s | Infer Batch: 30.6 | Total: 0:09:01 | ETA: 0:00:01
[KGenerating Samples |###########################     | (109/128) Sample Time: 4.973s | Infer Batch: 30.6 | Total: 0:09:02 | ETA: 0:00:01
[KGenerating Samples |###########################     | (109/128) Sample Time: 4.973s | Infer Batch: 30.6 | Total: 0:09:03 | ETA: 0:00:01
